Bill No.,Auto-generated link,Sponsor(s),Source,Date Received,Bill Description,Committee/Status,Priority,Fellows Approved,Leg Team Approved,Approved for Sign-on,Sent Co-sponsor req.,Date Buckslip Submitted,Notes
S3468,link,Rivera,SANYS,2/26/24,Provides parity to durable medical equipment providers by requiring Medicaid managed care organizations to reimburse such providers at no less than one hundred percent of the medical assistance durable medical equipment and complex rehabilitation technology fee schedule for the same service or item.,,,,,1. Yes,,,
S8381,link,Fernandez,PARSE,2/27/24,"Establishes the ""recovery ready workplace act"" which provides for the certification of an employer to become a recovery ready workplace.",,,1. Yes,,,,,
S7839,link,Rivera,PSSNY,2/27/24,"Provides for the initiation of treatment for COVID-19, influenza, and pharyngitis resulting from a Group A streptococcal infection by a licensed pharmacist in certain circumstances",,,1. Yes,,,,,
S647,link,Kavanagh,NewVoices NY,2/27/24,"Enacts the student journalist free speech act to protect student speech at educational institutions unless such speech is libelous, an invasion of privacy, or incites students to commit an unlawful act, violate school policies, or to materially and substantially disrupt the orderly operation of the school",,,1. Yes,,1. Yes,,,
S4544,link,Skoufis,The Nature Conservancy,2/27/24,"Allows industrial development agencies to make grants to municipalities for open space preservation, parkland improvements and conservation easements where the municipal governing body finds that the grant encourages tourism or otherwise improves quality of life.",,3. Low,2. Maybe,,,,,
S3144C,link,Mannion,Email,2/29/24,"Relates to increasing the earnings limitation for retired law enforcement officers; increases the earnings limitation from $35,000 to $65,000 for retired law enforcement officers employed as law enforcement officers after retirement",,,,,3. No,,,
S277B,link,Gounardes,Email,2/29/24,Provides for a working families tax credit; directs quarterly prepayment of the credit; provides for a sliding reduction in the credit for incomes which exceed a certain threshold.,,1. High,,,1. Yes,,,
S4312,link,Sepulveda,Email,2/29/24,Relates to the registration status of voters; establishes additional requirements for the cancellation of a voter's registration; allows voters who have an inactive status to have their registration returned to active status and to have their vote counted for the election in which they vote.,,3. Low,,,,,,
S4313,link,Sepulveda,Email,2/29/24,Requires that each police officer and peace officer involved in the execution of a search warrant wear a functioning and unobstructed body camera that shall be active prior to and throughout the execution of the search and during any related action following the execution of the search warrant.,,3. Low,,,,,,
S4315,link,Sepulveda,Email,2/29/24,Requires the department of corrections and community supervision to create a family reunion program to provide eligible incarcerated individuals and their families the opportunity to meet for an extended period of time in a residential setting.,,,,,,,,
S4326,link,Sepulveda,Email,2/29/24,Relates to controlled substances and indeterminate sentences; relates to the expansion of merit time; repeals provisions relating to the allowance of limited credit time for incarcerated individuals.,,,,,,,,
S4327,link,Sepulveda,Email,2/29/24,"Alters the composition of the state board of parole to include members who shall adequately reflect the composition of the prison population in race, age, and geographic area of residence.",,,,,,,,
S451,link,Gianaris,NYC Red Light Program,3/1/24,Suspends the registration of a vehicle which has been documented five times within a twelve month period by a photo violation monitoring device for failure of an operator thereof to comply with traffic-control indications for a period of six months.,,1. High,,,1. Yes,,,
S7703,link,Hoylman-Sigal,NYC Office of the Mayor,3/1/24,Requires limited use motorcycles to be registered at point of sale.,,1. High,,,2. Maybe,,,
S4339,link,Sepulveda,Email,3/5/24,"Authorizes the commissioner to place certain incarcerated individuals in home confinement during a declared state of emergency if such state of emergency conditions materially affect the functioning of the department of corrections and community supervision.",,,,,3. No,,,
S4340,link,Sepulveda,Email,3/5/24,"Relates to the proper form of exhibits for submission; provides every exhibit shall be clearly identified, but no specific method of labeling shall be required.",,,,,,,,
S4341,link,Sepulveda,Email,3/5/24,"Relates to public health emergency allowances against sentences for certain incarcerated individuals; allows up to twelve months of public health emergency allowances to be given to incarcerated individuals during a public health crisis.",,,,,,,,
S4342,link,Sepulveda,Email,3/5/24,"Relates to persons who may become a voluntary administrator; includes fiduciaries of a deceased distributee, or a competent adult who is not a distributee upon the filed consent of all competent distributees as persons who can become a voluntary administrator prior to the chief fiscal officer of the county becoming such.",,,,,,,,
S4343,link,Sepulveda,Email,3/5/24,"Requires the release of body camera recordings in instances where an officer fires a gun and hits someone or could have caused injury, uses a stun gun, or makes use of any other force that causes harm within thirty days of such incident.",,,,,,,,
S3108A,link,Mannion,Email,3/5/24,"Directs the independent developmental disability ombudsman program to establish a service delivery structure based in New York state that includes a toll-free telephone hotline, an interactive website, and availability of in-person, telephone and email access to ombudsman program staff or volunteers; to provide assistance for navigating and completing processes; to assist individuals in filing and preparing appeals; to assist individuals with any problems encountered; and to educate individuals on their rights and responsibilities with respect to access to services provided by the office for people with developmental disabilities and care coordination provided by health homes serving individuals with developmental disabilities or services provided by other providers",,2. Normal,,,,,,
S8432,link,Comrie,Email,3/5/24,"Establishes a captive insurance program for commuter vans, black cars, ambulettes and paratransit vehicles, small school buses, and charter buses that are engaged in the business of carrying or transporting eight to twenty-four passengers for hire; pre-arranged for-hire vehicles and accessible vehicles; defines terms.",,3. Low,,,,,,
S488,link,Comrie,Anerican Kratom Association,3/5/24,"Relates to enacting the New York state kratom consumer protection act; relates to labeling and other requirements for the sale of kratom products
",,3. Low,,,,,,
S7224,link,Gounardes,,3/18/24,"Provides an option for beneficiaries of NYC transit authority members to receive a lump sum equal to the pension reserve where a member who is eligible for a service retirement dies prior to filing for retirement.",,3. Low,1. Yes,,,,,
S7415,link,Mayer,,3/18/24,"Details the procedure that certain school districts must follow when dealing with disciplinary actions for bus drivers and bus drivers' assistants.",,3. Low,1. Yes,,,,,
S6621,link,Comrie,,3/18/24,"Enacts the ""commuter rail employee rights protection act""
",,3. Low,,,,,,
S4877,link,Mayer,Empire Justice Center,3/25/24,"Reduces the number of days for a state agency to register contracts with not-for-profit organizations to thirty; defines registered contract.",,,,,,,,
S5632,link,,From Antonella CB#1,4/9/24,"Establishes certain consumer rights for the protection of consumer health, safety and/or privacy needs related to utility meters.",,1. High,,,,,,
S2428,link,Hoylman-Sigal,Joanna M.,4/10/24,Requires LGBT awareness curriculum or instruction.,,1. High,,1. Yes,,1. Yes,,
